Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x552530>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.0: 22.683916311084293 (6.75)
3.1: 14.845082425046893 (7.44775)
3.2: 9.08688105755239 (8.192)
3.3: 4.897007251063752 (8.98425)
3.4: 1.8866078788606608 (9.826)
3.5: -0.23949912231656506 (10.71875)
3.6: -1.705317772074165 (11.664)
3.7: -2.680707724912131 (12.66325)
3.8: -3.2943119158971674 (13.718)
3.9: -3.643385489081501 (14.82975)
4.0: -3.8012794523090365 (16.0)
4.1: -3.8231449860791846 (17.23025)
4.2: -3.750285024185262 (18.522)
4.3: -3.613475702055564 (19.87675)
4.4: -3.435502254071249 (21.296)
4.5: -3.2330952083666493 (22.78125)
4.6: -3.018408365787889 (24.334)
4.7: -2.800146447745606 (25.95575)
4.8: -2.5844247843380317 (27.648)
4.9: -2.3754240022182533 (29.41225)
5.0: -2.175887876119096 (31.25)
