Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x914de0>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.0: 22.683916311084293 (6.75)
3.1: 14.845082425046893 (7.44775)
3.2: 9.08688105755239 (8.192)
3.3: 4.897007251063752 (8.98425)
3.4: 1.8866078788606608 (9.826)
3.5: -0.23949912231656506 (10.71875)
3.6: -1.705317772074165 (11.664)
3.7: -2.680707724912131 (12.66325)
3.8: -3.2943119158971674 (13.718)
3.81: -3.3397467767573707 (13.82658525)
3.82: -3.3826383778632536 (13.935742)
3.83: -3.423066939565771 (14.04547175)
3.84: -3.4611104460031425 (14.155776)
3.85: -3.4968447052101146 (14.26665625)
3.86: -3.530343407630329 (14.378114)
3.87: -3.56167818305716 (14.49015075)
3.88: -3.5909186560547495 (14.602768)
3.89: -3.6181324998997555 (14.71596725)
3.9: -3.643385489081501 (14.82975)
3.91: -3.6667415503961855 (14.94411775)
3.92: -3.6882628126859354 (15.059072)
3.93: -3.70800965524007 (15.17461425)
3.94: -3.726040754912909 (15.290746)
3.95: -3.742413131978188 (15.40746875)
3.96: -3.757182194765363 (15.524784)
3.97: -3.7704017831018977 (15.64269325)
3.98: -3.782124210600546 (15.761198)
3.99: -3.792400305817175 (15.88029975)
4.0: -3.8012794523090365 (16.0)
4.01: -3.8088096276315975 (16.12030025)
4.02: -3.815037441293949 (16.241202)
4.03: -3.8200081716967302 (16.36270675)
4.04: -3.823765802097209 (16.484816)
4.05: -3.826353055608797 (16.60753125)
4.06: -3.8278114292694 (16.730854)
4.07: -3.8281812272033404 (16.85478575)
4.08: -3.8275015929026335 (16.979328)
4.09: -3.8258105406456426 (17.10448225)
4.1: -3.8231449860791846 (17.23025)
4.11: -3.819540775989914 (17.35663275)
4.12: -3.8150327172787692 (17.483632)
4.13: -3.809654605168823 (17.61124925)
4.14: -3.8034392506579007 (17.739486)
4.15: -3.796418507244735 (17.86834375)
4.16: -3.7886232969394698 (17.997824)
4.17: -3.7800836355868257 (18.12792825)
4.18: -3.770828657509294 (18.258658)
4.19: -3.7608866395035605 (18.39001475)
4.2: -3.750285024185262 (18.522)
4.21: -3.739050442725783 (18.65461525)
4.22: -3.7272087369760722 (18.787862)
4.23: -3.7147849810012477 (18.92174175)
4.24: -3.7018035020496303 (19.056256)
4.25: -3.688287900950321 (19.19140625)
4.26: -3.6742610719843127 (19.327194)
4.27: -3.6597452222100073 (19.46362075)
4.28: -3.644761890287591 (19.600688)
4.29: -3.62933196479524 (19.73839725)
4.3: -3.613475702055564 (19.87675)
4.31: -3.597212743496536 (20.01574775)
4.32: -3.580562132538525 (20.155392)
4.33: -3.563542331040887 (20.29568425)
4.34: -3.5461712353025048 (20.436626)
4.35: -3.528466191644318 (20.57821875)
4.36: -3.510444011568226 (20.720464)
4.37: -3.4921209865183855 (20.86336325)
4.38: -3.4735129022442925 (21.006918)
4.39: -3.4546350527834893 (21.15112975)
4.4: -3.435502254071249 (21.296)
4.41: -3.4161288571849524 (21.44153025)
4.42: -3.396528761237687 (21.587722)
4.43: -3.3767154259271077 (21.73457675)
4.44: -3.356701883745834 (21.882096)
4.45: -3.3365007518736425 (22.03028125)
4.46: -3.316124243741788 (22.179134)
4.47: -3.295584180296335 (22.32865575)
4.48: -3.2748920009580704 (22.478848)
4.49: -3.2540587742877194 (22.62971225)
4.5: -3.2330952083666493 (22.78125)
4.6: -3.018408365787889 (24.334)
4.7: -2.800146447745606 (25.95575)
4.8: -2.5844247843380317 (27.648)
4.9: -2.3754240022182533 (29.41225)
5.0: -2.175887876119096 (31.25)
