Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x552530>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.8: -3.2943119158971665 (13.718)
3.801: -3.2989721821486118 (13.72883285)
3.802: -3.303606276131714 (13.739671402)
3.803: -3.30821428117763 (13.750515657)
3.804: -3.3127962803792044 (13.761365616)
3.805: -3.3173523565983487 (13.772221281)
3.806: -3.321882592461437 (13.783082654)
3.807: -3.3263870703631198 (13.793949736)
3.808: -3.3308658724649116 (13.804822528)
3.809: -3.3353190806961672 (13.815701032)
3.81: -3.3397467767573707 (13.82658525)
3.811: -3.3441490421172153 (13.837475183)
3.812: -3.3485259580134166 (13.848370832)
3.813: -3.352877605456736 (13.859272199)
3.814: -3.3572040652275783 (13.870179286)
3.815: -3.361505417880835 (13.881092094)
3.816: -3.365781743741534 (13.892010624)
3.817: -3.370033122909638 (13.902934878)
3.818: -3.3742596352580208 (13.913864858)
3.819: -3.378461360434761 (13.924800565)
3.82: -3.382638377863253 (13.935742)
3.821: -3.386790766742675 (13.946689165)
3.822: -3.3909186060480883 (13.957642062)
3.823: -3.395021974531523 (13.968600692)
3.824: -3.399100950723956 (13.979565056)
3.825: -3.403155612932493 (13.990535156)
3.826: -3.407186039245064 (14.001510994)
3.827: -3.4111923075275405 (14.012492571)
3.828: -3.415174495427076 (14.023479888)
3.829: -3.419132680370345 (14.034472947)
3.83: -3.4230669395657713 (14.04547175)
3.831: -3.426977350003768 (14.056476298)
3.832: -3.430863988456831 (14.067486592)
3.833: -3.434726931480724 (14.078502634)
3.834: -3.438566255414223 (14.089524426)
3.835: -3.442382036381282 (14.100551969)
3.836: -3.446174350290173 (14.111585264)
3.837: -3.4499432728334836 (14.122624313)
3.838: -3.4536888794918537 (14.133669118)
3.839: -3.457411245530265 (14.14471968)
3.84: -3.461110446003142 (14.155776)
3.841: -3.464786555749536 (14.16683808)
3.842: -3.4684396494007603 (14.177905922)
3.843: -3.4720698013729376 (14.188979527)
3.844: -3.475677085873527 (14.200058896)
3.845: -3.4792615769014725 (14.211144031)
3.846: -3.482823348242561 (14.222234934)
3.847: -3.4863624734771603 (14.233331606)
3.848: -3.4898790259758505 (14.244434048)
3.849: -3.4933730789016244 (14.255542262)
3.85: -3.4968447052101146 (14.26665625)
3.851: -3.5002939776499815 (14.277776013)
3.852: -3.503720968765573 (14.288901552)
3.853: -3.5071257508939495 (14.300032869)
3.854: -3.510508396168108 (14.311169966)
3.855: -3.5138689765167754 (14.322312844)
3.856: -3.5172075636637494 (14.333461504)
3.857: -3.520524229130779 (14.344615948)
3.858: -3.5238190442372845 (14.355776178)
3.859: -3.527092080098137 (14.366942195)
3.86: -3.5303434076303284 (14.378114)
3.861: -3.5335730975458683 (14.389291595)
3.862: -3.5367812203599396 (14.400474982)
3.863: -3.539967846384128 (14.411664162)
3.864: -3.543133045734067 (14.422859136)
3.865: -3.5462768883243188 (14.434059906)
3.866: -3.5493994438711596 (14.445266474)
3.867: -3.5525007818943175 (14.456478841)
3.868: -3.555580971715657 (14.467697008)
3.869: -3.5586400824600273 (14.478920977)
3.87: -3.5616781830571598 (14.49015075)
3.871: -3.564695342238456 (14.501386328)
3.872: -3.567691628544304 (14.512627712)
3.873: -3.570667110316599 (14.523874904)
3.874: -3.5736218557063344 (14.535127906)
3.875: -3.576555932668293 (14.546386719)
3.876: -3.579469408966792 (14.557651344)
3.877: -3.5823623521714367 (14.568921783)
3.878: -3.585234829661183 (14.580198038)
3.879: -3.5880869086232465 (14.59148011)
3.88: -3.590918656054749 (14.602768)
3.881: -3.5937301387603933 (14.61406171)
3.882: -3.5965214233578533 (14.625361242)
3.883: -3.5992925762725068 (14.636666597)
3.884: -3.602043663742725 (14.647977776)
3.885: -3.6047747518186193 (14.659294781)
3.886: -3.6074859063614197 (14.670617614)
3.887: -3.6101771930462907 (14.681946276)
3.888: -3.6128486773613613 (14.693280768)
3.889: -3.6155004246068523 (14.704621092)
3.89: -3.618132499899755 (14.71596725)
3.891: -3.620744968170081 (14.727319243)
3.892: -3.62333789416382 (14.738677072)
3.893: -3.625911342442528 (14.750040739)
3.894: -3.628465377384058 (14.761410246)
3.895: -3.6310000631824964 (14.772785594)
3.896: -3.633515463850821 (14.784166784)
3.897: -3.6360116432169907 (14.795553818)
3.898: -3.638488664930172 (14.806946698)
3.899: -3.6409465924557876 (14.818345425)
3.9: -3.6433854890815005 (14.82975)
3.901: -3.645805417910983 (14.841160425)
3.902: -3.64820644187057 (14.852576702)
3.903: -3.6505886237069 (14.863998832)
3.904: -3.6529520259882777 (14.875426816)
3.905: -3.6552967111036834 (14.886860656)
3.906: -3.6576227412641846 (14.898300354)
3.907: -3.6599301785044824 (14.909745911)
3.908: -3.6622190846815244 (14.921197328)
3.909: -3.6644895214775666 (14.932654607)
3.91: -3.6667415503961855 (14.94411775)
3.911: -3.6689752327678744 (14.955586758)
3.912: -3.6711906297477808 (14.967061632)
3.913: -3.6733878023152124 (14.978542374)
3.914: -3.675566811277792 (14.990028986)
3.915: -3.677727717267141 (15.001521469)
3.916: -3.6798705807432457 (15.013019824)
3.917: -3.6819954619937314 (15.024524053)
3.918: -3.6841024211339866 (15.036034158)
3.919: -3.686191518107199 (15.04755014)
3.92: -3.688262812685935 (15.059072)
3.921: -3.6903163644711947 (15.07059974)
3.922: -3.6923522328957556 (15.082133362)
3.923: -3.6943704772198425 (15.093672867)
