Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x592160>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.0, 3.0): 57.2754647142622
(2.0, 3.1): 51.26511817363202
(2.0, 3.2): 46.0722677953309
(2.0, 3.3): 41.59547898202538
(2.0, 3.4): 37.74432102422008
(2.0, 3.5): 34.43836103034756
(2.0, 3.6): 31.606261670743574
(2.0, 3.7): 29.184951178088117
(2.0, 3.8): 27.118848970677668
(2.0, 3.9): 25.359139054586148
(2.0, 4.0): 23.86308823365686
(2.0, 4.1): 22.593408578019083
(2.0, 4.2): 21.517664536694316
(2.0, 4.3): 20.607725152627435
(2.0, 4.4): 19.83926145682273
(2.0, 4.4): 19.83926145682273
(2.0, 4.41): 19.76936166116554
(2.0, 4.42): 19.700645084208688
(2.0, 4.43): 19.633092737641967
(2.0, 4.44): 19.56668591766905
(2.0, 4.45): 19.501406201152964
(2.0, 4.46): 19.437235441866655
(2.0, 4.47): 19.37415576673773
(2.0, 4.48): 19.312149572139365
(2.0, 4.49): 19.251199520251845
(2.0, 4.5): 19.191288535422814
(2.0, 4.51): 19.132399800580547
(2.0, 4.52): 19.074516753724243
(2.0, 4.53): 19.01762308441569
(2.0, 4.54): 18.961702730301088
(2.0, 4.55): 18.906739873697283
(2.0, 4.56): 18.852718938238464
(2.0, 4.57): 18.79962458549057
(2.0, 4.58): 18.747441711670117
(2.0, 4.59): 18.696155444378178
(2.0, 4.6): 18.645751139361614
(2.0, 4.61): 18.596214377341642
(2.0, 4.62): 18.547530960823504
(2.0, 4.63): 18.49968691103994
(2.0, 4.64): 18.452668464810078
(2.0, 4.65): 18.40646207154876
(2.0, 4.66): 18.36105439020324
(2.0, 4.67): 18.316432286352097
(2.0, 4.68): 18.27258282922235
(2.0, 4.69): 18.229493288790753
