Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x2e73480>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

lattice constant/A: energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.0: 22.683916311075656 (6.75)
3.1: 14.845082425046757 (7.44775)
3.2: 9.086881057552567 (8.192)
3.3: 4.897007251063032 (8.98425)
3.4: 1.8866078788603877 (9.826)
3.5: -0.23949912231648107 (10.71875)
3.6: -1.7053177720737929 (11.664)
3.7: -2.6807077249111044 (12.66325)
3.8: -3.2943119158959226 (13.718)
3.81: -3.3397467767572713 (13.82658525)
3.82: -3.382638377863463 (13.935742)
3.83: -3.4230669395671836 (14.04547175)
3.84: -3.4611104460037723 (14.155776)
3.85: -3.4968447052091842 (14.26665625)
3.86: -3.5303434076288247 (14.378114)
3.87: -3.5616781830559443 (14.49015075)
3.88: -3.5909186560534607 (14.602768)
3.89: -3.618132499899425 (14.71596725)
3.9: -3.643385489080229 (14.82975)
3.91: -3.6667415503975054 (14.94411775)
3.92: -3.688262812685595 (15.059072)
3.93: -3.7080096552396316 (15.17461425)
3.94: -3.7260407549125487 (15.290746)
3.95: -3.7424131319784495 (15.40746875)
3.96: -3.757182194764391 (15.524784)
3.97: -3.770401783100257 (15.64269325)
3.98: -3.782124210600256 (15.761198)
3.99: -3.7924003058158835 (15.88029975)
4.0: -3.8012794523091826 (16.0)
4.01: -3.8088096276328582 (16.12030025)
4.02: -3.8150374412942925 (16.241202)
4.03: -3.8200081716950693 (16.36270675)
4.04: -3.8237658020967458 (16.484816)
4.05: -3.826353055608336 (16.60753125)
4.06: -3.827811429269689 (16.730854)
4.07: -3.828181227203429 (16.85478575)
4.08: -3.8275015929029013 (16.979328)
4.09: -3.8258105406439955 (17.10448225)
4.1: -3.8231449860777382 (17.23025)
4.11: -3.819540775990661 (17.35663275)
4.12: -3.815032717277512 (17.483632)
4.13: -3.8096546051678177 (17.61124925)
4.14: -3.803439250658286 (17.739486)
4.15: -3.7964185072432928 (17.86834375)
4.16: -3.788623296939475 (17.997824)
4.17: -3.7800836355875487 (18.12792825)
4.18: -3.770828657508627 (18.258658)
4.19: -3.7608866395025182 (18.39001475)
4.2: -3.750285024185699 (18.522)
4.21: -3.739050442724451 (18.65461525)
4.22: -3.727208736976775 (18.787862)
4.23: -3.714784981000543 (18.92174175)
4.24: -3.7018035020503257 (19.056256)
4.25: -3.688287900950039 (19.19140625)
4.26: -3.6742610719830218 (19.327194)
4.27: -3.6597452222106326 (19.46362075)
4.28: -3.644761890288887 (19.600688)
4.29: -3.629331964795593 (19.73839725)
4.3: -3.6134757020554704 (19.87675)
4.31: -3.597212743495929 (20.01574775)
4.32: -3.5805621325397636 (20.155392)
4.33: -3.563542331039668 (20.29568425)
4.34: -3.5461712353009966 (20.436626)
4.35: -3.5284661916447098 (20.57821875)
4.36: -3.5104440115682998 (20.720464)
4.37: -3.4921209865189415 (20.86336325)
4.38: -3.4735129022445923 (21.006918)
4.39: -3.4546350527832486 (21.15112975)
4.4: -3.435502254069962 (21.296)
4.41: -3.4161288571849564 (21.44153025)
4.42: -3.3965287612373802 (21.587722)
4.43: -3.376715425926207 (21.73457675)
4.44: -3.356701883747204 (21.882096)
4.45: -3.3365007518733476 (22.03028125)
4.46: -3.316124243741794 (22.179134)
4.47: -3.2955841802972894 (22.32865575)
4.48: -3.27489200095948 (22.478848)
4.49: -3.2540587742864098 (22.62971225)
4.5: -3.233095208366518 (22.78125)
4.6: -3.0184083657877956 (24.334)
4.7: -2.8001464477445968 (25.95575)
4.8: -2.584424784338754 (27.648)
4.9: -2.375424002217765 (29.41225)
5.0: -2.1758878761182694 (31.25)
