Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x2fcab40>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

lattice constant/Ang: energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.8: -3.2943119158959226 (13.718)
3.801: -3.298972182148802 (13.72883285)
3.802: -3.3036062761313105 (13.739671402)
3.803: -3.3082142811767525 (13.750515657)
3.804: -3.312796280379021 (13.761365616)
3.805: -3.31735235659895 (13.772221281)
3.806: -3.321882592462685 (13.783082654)
3.807: -3.3263870703616734 (13.793949736)
3.808: -3.3308658724640323 (13.804822528)
3.809: -3.3353190806957618 (13.815701032)
3.81: -3.3397467767572713 (13.82658525)
3.811: -3.3441490421173174 (13.837475183)
3.812: -3.3485259580124676 (13.848370832)
3.813: -3.352877605457314 (13.859272199)
3.814: -3.3572040652284594 (13.870179286)
3.815: -3.361505417880835 (13.881092094)
3.816: -3.3657817437415356 (13.892010624)
3.817: -3.3700331229102383 (13.902934878)
3.818: -3.3742596352586345 (13.913864858)
3.819: -3.378461360434996 (13.924800565)
3.82: -3.382638377863463 (13.935742)
3.821: -3.386790766742906 (13.946689165)
3.822: -3.3909186060481846 (13.957642062)
3.823: -3.39502197453122 (13.968600692)
3.824: -3.3991009507230503 (13.979565056)
3.825: -3.403155612933481 (13.990535156)
3.826: -3.407186039244845 (14.001510994)
3.827: -3.411192307526928 (14.012492571)
3.828: -3.4151744954282908 (14.023479888)
3.829: -3.419132680370266 (14.034472947)
3.83: -3.4230669395671836 (14.04547175)
3.831: -3.4269773500049703 (14.056476298)
3.832: -3.4308639884564505 (14.067486592)
3.833: -3.4347269314817157 (14.078502634)
3.834: -3.438566255413911 (14.089524426)
3.835: -3.4423820363809785 (14.100551969)
3.836: -3.446174350290549 (14.111585264)
3.837: -3.4499432728334805 (14.122624313)
3.838: -3.45368887949059 (14.133669118)
3.839: -3.457411245530245 (14.14471968)
3.84: -3.4611104460037723 (14.155776)
