Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x25bc550>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

lattice constant/Ang: energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.0: 22.683916311075656 (6.75)
3.1: 14.845082425046757 (7.44775)
3.2: 9.086881057552567 (8.192)
3.3: 4.897007251063032 (8.98425)
3.4: 1.8866078788603877 (9.826)
3.5: -0.23949912231648107 (10.71875)
3.6: -1.7053177720737929 (11.664)
3.7: -2.6807077249111044 (12.66325)
3.8: -3.2943119158959226 (13.718)
3.9: -3.643385489080229 (14.82975)
4.0: -3.8012794523091826 (16.0)
4.1: -3.8231449860777382 (17.23025)
4.2: -3.750285024185699 (18.522)
4.3: -3.6134757020554704 (19.87675)
4.4: -3.4355022540699625 (21.296)
4.5: -3.2330952083665108 (22.78125)
4.6: -3.0184083657877956 (24.334)
4.7: -2.8001464477445968 (25.95575)
4.8: -2.584424784338754 (27.648)
4.9: -2.375424002217765 (29.41225)
5.0: -2.1758878761182694 (31.25)
