Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x7ff3f5535150>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant/Ang: Energy/eV
----------------------------------------------
(2.0, 3.0): 57.27546471423086
(2.0, 3.1): 51.26511817361633
(2.0, 3.2): 46.07226779538693
(2.0, 3.3): 41.59547898201654
(2.0, 3.4): 37.74432102425978
(2.0, 3.5): 34.438361030321126
(2.0, 3.6): 31.606261670751156
(2.0, 3.7): 29.184951178054582
(2.0, 3.8): 27.11884897064966
(2.0, 3.9): 25.359139054570274
(2.0, 4.0): 23.863088233636155
(2.0, 4.1): 22.593408578045157
(2.0, 4.2): 21.51766453671079
(2.0, 4.3): 20.60772515262893
(2.0, 4.4): 19.83926145683047
(2.0, 4.41): 19.769361661165153
(2.0, 4.42): 19.70064508422646
(2.0, 4.43): 19.63309273764068
(2.0, 4.44): 19.56668591767039
(2.0, 4.45): 19.501406201159323
(2.0, 4.46): 19.437235441872
(2.0, 4.47): 19.374155766715692
(2.0, 4.48): 19.312149572153494
(2.0, 4.49): 19.251199520273502
(2.0, 4.5): 19.191288535402446
(2.0, 4.51): 19.132399800582224
(2.0, 4.52): 19.07451675370253
(2.0, 4.53): 19.017623084399265
(2.0, 4.54): 18.961702730282532
(2.0, 4.55): 18.906739873695717
(2.0, 4.56): 18.852718938251535
(2.0, 4.57): 18.799624585510138
(2.0, 4.58): 18.747441711684363
(2.0, 4.59): 18.69615544437178
(2.0, 4.6): 18.645751139374784
(2.0, 4.61): 18.596214377328458
(2.0, 4.62): 18.547530960838234
(2.0, 4.63): 18.499686911033642
(2.0, 4.64): 18.452668464823663
(2.0, 4.65): 18.40646207155105
(2.0, 4.66): 18.36105439020322
(2.0, 4.67): 18.316432286366986
(2.0, 4.68): 18.272582829229137
(2.0, 4.69): 18.2294932887894
(2.0, 4.7): 18.18715113296634
