Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x1bff3f0>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 


----------------------------------------------
(2.0, 3.0): 57.27546471423086
(2.0, 3.1): 51.26511817361633
(2.0, 3.2): 46.072267795386765
(2.0, 3.3): 41.59547898201654
(2.0, 3.4): 37.7443210242598
(2.0, 3.5): 34.438361030321126
(2.0, 3.6): 31.606261670751152
(2.0, 3.7): 29.18495117805458
(2.0, 3.8): 27.11884897064966
(2.0, 3.9): 25.359139054570285
(2.0, 4.0): 23.863088233636155
(2.0, 4.1): 22.593408578045157
(2.0, 4.2): 21.51766453671079
(2.0, 4.3): 20.607725152628927
(2.0, 4.4): 19.83926145683046
(2.0, 4.41): 19.769361661165153
(2.0, 4.42): 19.70064508422646
(2.0, 4.43): 19.63309273764068
(2.0, 4.44): 19.56668591767039
(2.0, 4.45): 19.50140620115932
(2.0, 4.46): 19.437235441871998
(2.0, 4.47): 19.374155766715692
(2.0, 4.48): 19.312149572153388
(2.0, 4.49): 19.2511995202735
(2.0, 4.5): 19.191288535402435
(2.0, 4.51): 19.132399800582217
(2.0, 4.52): 19.07451675370253
(2.0, 4.53): 19.017623084399265
(2.0, 4.54): 18.961702730282532
(2.0, 4.55): 18.906739873695717
(2.0, 4.56): 18.85271893825153
(2.0, 4.57): 18.799624585510138
(2.0, 4.58): 18.747441711684363
(2.0, 4.59): 18.69615544437178
(2.0, 4.6): 18.645751139374784
(2.0, 4.61): 18.596214377328458
(2.0, 4.62): 18.54753096083824
(2.0, 4.63): 18.499686911033642
(2.0, 4.64): 18.452668464823677
(2.0, 4.65): 18.40646207155105
(2.0, 4.66): 18.36105439020322
(2.0, 4.67): 18.316432286366975
(2.0, 4.68): 18.272582829229123
(2.0, 4.69): 18.229493288789396
(2.0, 4.7): 18.187151132966335
(2.0, 4.71): 18.1455440246864
