Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x5513f0>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.0: 22.683916311084293 (6.75)
3.1: 14.845082425046893 (7.44775)
3.2: 9.08688105755239 (8.192)
3.3: 4.897007251063752 (8.98425)
3.4: 1.8866078788606608 (9.826)
3.5: -0.23949912231656506 (10.71875)
3.6: -1.705317772074165 (11.664)
3.7: -2.680707724912131 (12.66325)
3.8: -3.2943119158971674 (13.718)
3.801: -3.2989721821486118 (13.72883285)
3.802: -3.303606276131714 (13.739671402)
3.803: -3.30821428117763 (13.750515657)
3.804: -3.312796280379205 (13.761365616)
3.805: -3.3173523565983487 (13.772221281)
3.806: -3.3218825924614364 (13.783082654)
3.807: -3.32638707036312 (13.793949736)
3.808: -3.330865872464912 (13.804822528)
3.809: -3.3353190806961672 (13.815701032)
3.81: -3.3397467767573707 (13.82658525)
3.811: -3.3441490421172153 (13.837475183)
3.812: -3.3485259580134175 (13.848370832)
3.813: -3.352877605456736 (13.859272199)
3.814: -3.3572040652275783 (13.870179286)
3.815: -3.361505417880835 (13.881092094)
3.816: -3.365781743741534 (13.892010624)
3.817: -3.3700331229096383 (13.902934878)
3.818: -3.3742596352580208 (13.913864858)
3.819: -3.378461360434761 (13.924800565)
3.82: -3.3826383778632536 (13.935742)
3.821: -3.386790766742675 (13.946689165)
3.822: -3.3909186060480883 (13.957642062)
3.823: -3.395021974531523 (13.968600692)
3.824: -3.3991009507239562 (13.979565056)
3.825: -3.403155612932493 (13.990535156)
3.826: -3.4071860392450635 (14.001510994)
3.827: -3.411192307527541 (14.012492571)
3.828: -3.4151744954270753 (14.023479888)
3.829: -3.419132680370345 (14.034472947)
3.83: -3.423066939565771 (14.04547175)
3.831: -3.4269773500037677 (14.056476298)
3.832: -3.430863988456831 (14.067486592)
3.833: -3.4347269314807236 (14.078502634)
3.834: -3.4385662554142225 (14.089524426)
3.835: -3.442382036381282 (14.100551969)
3.836: -3.446174350290173 (14.111585264)
3.837: -3.4499432728334836 (14.122624313)
3.838: -3.4536888794918545 (14.133669118)
3.839: -3.457411245530265 (14.14471968)
3.84: -3.4611104460031425 (14.155776)
3.841: -3.464786555749536 (14.16683808)
3.842: -3.4684396494007608 (14.177905922)
3.843: -3.472069801372938 (14.188979527)
3.844: -3.475677085873527 (14.200058896)
3.845: -3.4792615769014725 (14.211144031)
3.846: -3.482823348242561 (14.222234934)
3.847: -3.4863624734771603 (14.233331606)
3.848: -3.4898790259758505 (14.244434048)
3.849: -3.493373078901625 (14.255542262)
3.85: -3.4968447052101146 (14.26665625)
3.851: -3.500293977649981 (14.277776013)
3.852: -3.503720968765573 (14.288901552)
3.853: -3.507125750893949 (14.300032869)
3.854: -3.510508396168108 (14.311169966)
3.855: -3.513868976516776 (14.322312844)
3.856: -3.5172075636637494 (14.333461504)
3.857: -3.5205242291307783 (14.344615948)
3.858: -3.5238190442372845 (14.355776178)
3.859: -3.527092080098137 (14.366942195)
3.86: -3.530343407630329 (14.378114)
3.861: -3.533573097545868 (14.389291595)
3.862: -3.5367812203599396 (14.400474982)
3.863: -3.5399678463841275 (14.411664162)
3.864: -3.5431330457340664 (14.422859136)
3.865: -3.5462768883243196 (14.434059906)
3.866: -3.549399443871159 (14.445266474)
3.867: -3.5525007818943175 (14.456478841)
3.868: -3.5555809717156563 (14.467697008)
3.869: -3.558640082460027 (14.478920977)
3.87: -3.56167818305716 (14.49015075)
3.871: -3.5646953422384557 (14.501386328)
3.872: -3.567691628544304 (14.512627712)
3.873: -3.570667110316598 (14.523874904)
3.874: -3.5736218557063344 (14.535127906)
3.875: -3.576555932668293 (14.546386719)
3.876: -3.5794694089667924 (14.557651344)
3.877: -3.5823623521714367 (14.568921783)
3.878: -3.585234829661183 (14.580198038)
3.879: -3.588086908623246 (14.59148011)
3.88: -3.5909186560547495 (14.602768)
3.881: -3.5937301387603933 (14.61406171)
3.882: -3.5965214233578533 (14.625361242)
3.883: -3.599292576272507 (14.636666597)
3.884: -3.6020436637427258 (14.647977776)
3.885: -3.6047747518186197 (14.659294781)
3.886: -3.6074859063614197 (14.670617614)
3.887: -3.6101771930462903 (14.681946276)
3.888: -3.6128486773613617 (14.693280768)
3.889: -3.615500424606852 (14.704621092)
3.89: -3.6181324998997555 (14.71596725)
3.891: -3.620744968170081 (14.727319243)
3.892: -3.62333789416382 (14.738677072)
3.893: -3.6259113424425276 (14.750040739)
3.894: -3.6284653773840576 (14.761410246)
3.895: -3.631000063182496 (14.772785594)
3.896: -3.633515463850821 (14.784166784)
3.897: -3.63601164321699 (14.795553818)
3.898: -3.6384886649301724 (14.806946698)
3.899: -3.640946592455787 (14.818345425)
3.9: -3.643385489081501 (14.82975)
3.901: -3.6458054179109833 (14.841160425)
3.902: -3.6482064418705704 (14.852576702)
3.903: -3.6505886237069 (14.863998832)
3.904: -3.652952025988278 (14.875426816)
3.905: -3.6552967111036834 (14.886860656)
3.906: -3.6576227412641846 (14.898300354)
3.907: -3.6599301785044824 (14.909745911)
3.908: -3.6622190846815244 (14.921197328)
3.909: -3.6644895214775666 (14.932654607)
3.91: -3.6667415503961855 (14.94411775)
3.911: -3.668975232767875 (14.955586758)
3.912: -3.671190629747781 (14.967061632)
3.913: -3.6733878023152124 (14.978542374)
3.914: -3.6755668112777924 (14.990028986)
3.915: -3.6777277172671416 (15.001521469)
3.916: -3.679870580743245 (15.013019824)
