Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x54ae60>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.6: -1.705317772074165 (11.664)
3.601: -1.7172544670268495 (11.6737227)
3.602: -1.729142605404339 (11.683450802)
3.603: -1.7409823330535885 (11.693184307)
3.604: -1.7527737954180602 (11.702923216)
3.605: -1.764517137536995 (11.712667531)
3.606: -1.776212504046282 (11.722417254)
3.607: -1.7878600391814512 (11.732172386)
3.608: -1.799459886777146 (11.741932928)
3.609: -1.8110121902675793 (11.751698882)
3.61: -1.8225170926905772 (11.76147025)
3.611: -1.8339747366850996 (11.771247033)
3.612: -1.84538526449438 (11.781029232)
3.613: -1.856748817967557 (11.790816849)
3.614: -1.8680655385581058 (11.800609886)
3.615: -1.8793355673285699 (11.810408344)
3.616: -1.8905590449476226 (11.820212224)
3.617: -1.9017361116947238 (11.830021528)
3.618: -1.9128669074588778 (11.839836258)
3.619: -1.9239515717402424 (11.849656415)
3.62: -1.9349902436524622 (11.859482)
3.621: -1.9459830619214784 (11.869313015)
3.622: -1.956930164888044 (11.879149462)
3.623: -1.9678316905090252 (11.888991342)
3.624: -1.9786877763570418 (11.898838656)
3.625: -1.9894985596229113 (11.908691406)
3.626: -2.000264177116148 (11.918549594)
3.627: -2.0109847652657544 (11.928413221)
3.628: -2.0216604601218857 (11.938282288)
3.629: -2.0322913973559453 (11.948156797)
3.63: -2.0428777122623845 (11.95803675)
3.631: -2.0534195397595063 (11.967922148)
3.632: -2.0639170143911283 (11.977812992)
3.633: -2.074370270325562 (11.987709284)
3.634: -2.084779441359056 (11.997611026)
3.635: -2.0951446609154414 (12.007518219)
3.636: -2.1054660620482717 (12.017430864)
3.637: -2.1157437774393415 (12.027348963)
3.638: -2.1259779394032083 (12.037272518)
3.639: -2.136168679885323 (12.04720153)
3.64: -2.1463161304643377 (12.057136)
3.641: -2.15642042235251 (12.06707593)
3.642: -2.1664816863983365 (12.077021322)
3.643: -2.1765000530842773 (12.086972177)
3.644: -2.1864756525317635 (12.096928496)
3.645: -2.1964086144982287 (12.106890281)
3.646: -2.2062990683817594 (12.116857534)
3.647: -2.21614714321913 (12.126830256)
3.648: -2.2259529676884826 (12.136808448)
3.649: -2.2357166701094746 (12.146792112)
3.65: -2.245438378445096 (12.15678125)
3.651: -2.2551182203016613 (12.166775863)
3.652: -2.2647563229304803 (12.176775952)
3.653: -2.2743528132286492 (12.186781519)
3.654: -2.2839078177394705 (12.196792566)
3.655: -2.2934214626546297 (12.206809094)
3.656: -2.302893873813482 (12.216831104)
3.657: -2.312325176706372 (12.226858598)
3.658: -2.3217154964724855 (12.236891578)
3.659: -2.3310649579034792 (12.246930045)
3.66: -2.3403736854434545 (12.256974)
3.661: -2.3496418031898636 (12.267023445)
3.662: -2.3588694348933825 (12.277078382)
3.663: -2.36805670396118 (12.287138812)
3.664: -2.3772037334565934 (12.297204736)
3.665: -2.3863106460994454 (12.307276156)
3.666: -2.3953775642676214 (12.317353074)
3.667: -2.4044046099986986 (12.327435491)
3.668: -2.413391904988958 (12.337523408)
3.669: -2.422339570596432 (12.347616827)
3.67: -2.4312477278411864 (12.35771575)
3.671: -2.4401164974049676 (12.367820178)
3.672: -2.4489459996340877 (12.377930112)
3.673: -2.45773635453827 (12.388045554)
3.674: -2.46648768179343 (12.398166506)
3.675: -2.475200100742006 (12.408292969)
3.676: -2.4838737303931726 (12.418424944)
3.677: -2.4925086894241475 (12.428562433)
3.678: -2.5011050961814854 (12.438705438)
3.679: -2.5096630686817223 (12.44885396)
3.68: -2.5181827246122337 (12.459008)
3.681: -2.5266641813315265 (12.46916756)
3.682: -2.5351075558717717 (12.479332642)
3.683: -2.543512964937658 (12.489503247)
3.684: -2.5518805249088246 (12.499679376)
3.685: -2.560210351840648 (12.509861031)
3.686: -2.5685025614633603 (12.520048214)
3.687: -2.576757269185654 (12.530240926)
3.688: -2.584974590092876 (12.540439168)
3.689: -2.5931546389505233 (12.550642942)
3.69: -2.6012975302022014 (12.56085225)
3.691: -2.609403377973771 (12.571067093)
3.692: -2.617472296071362 (12.581287472)
3.693: -2.6255043979836064 (12.591513389)
3.694: -2.6334997968824614 (12.601744846)
3.695: -2.6414586056236193 (12.611981844)
3.696: -2.649380936748107 (12.622224384)
3.697: -2.6572669024825983 (12.632472468)
3.698: -2.6651166147393406 (12.642726098)
3.699: -2.6729301851195353 (12.652985275)
3.7: -2.680707724912134 (12.66325)
3.701: -2.6884493450943268 (12.673520275)
3.702: -2.6961551563344743 (12.683796102)
3.703: -2.7038252689908773 (12.694077482)
3.704: -2.7114597931145967 (12.704364416)
3.705: -2.7190588384480106 (12.714656906)
3.706: -2.7266225144274028 (12.724954954)
3.707: -2.734150930183584 (12.735258561)
3.708: -2.741644194541074 (12.745567728)
3.709: -2.7491024160214796 (12.755882457)
3.71: -2.7565257028431245 (12.76620275)
3.711: -2.76391416292063 (12.776528608)
3.712: -2.7712679038681194 (12.786860032)
3.713: -2.778587032997825 (12.797197024)
3.714: -2.7858716573232654 (12.807539586)
3.715: -2.7931218835571667 (12.817887719)
3.716: -2.800337818115207 (12.828241424)
3.717: -2.8075195671141726 (12.838600703)
3.718: -2.8146672363752043 (12.848965558)
3.719: -2.8217809314228313 (12.85933599)
3.72: -2.8288607574863187 (12.869712)
3.721: -2.8359068195004795 (12.88009359)
3.722: -2.842919222107235 (12.890480762)
3.723: -2.849898069655046 (12.900873517)
