Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x553ca0>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.0, 3.0): 57.27546471426221
(2.0, 3.1): 51.265118173632004
(2.0, 3.2): 46.072267795330895
(2.0, 3.3): 41.59547898202538
(2.0, 3.4): 37.74432102422006
(2.0, 3.5): 34.43836103034756
(2.0, 3.6): 31.606261670743567
(2.0, 3.7): 29.184951178088127
(2.0, 3.8): 27.118848970677668
(2.0, 3.9): 25.359139054586148
(2.0, 4.0): 23.86308823365686
(2.0, 4.1): 22.593408578019083
(2.0, 4.2): 21.517664536694316
(2.0, 4.3): 20.607725152627435
(2.0, 4.4): 19.83926145682273
(2.0, 4.5): 19.191288535422817
(2.0, 4.6): 18.64575113936161
(2.0, 4.7): 18.1871511329662
(2.0, 4.8): 17.802214603608533
(2.0, 4.9): 17.479596101300533
(2.0, 5.0): 17.209617244902216
(2.0, 5.1): 16.98403681244301
(2.0, 5.2): 16.795849410324735
(2.0, 5.3): 16.639109871612703
(2.0, 5.4): 16.508780648844667
(2.0, 5.5): 16.400599624232026
(2.0, 5.6): 16.310965944742293
(2.0, 5.7): 16.236841689019638
(2.0, 5.8): 16.175667377199005
(2.0, 5.9): 16.12528953624711
(2.0, 6.0): 16.083898727112217
(2.1, 3.0): 42.85639209760243
(2.1, 3.1): 37.80225330550447
(2.1, 3.2): 33.43165785819708
(2.1, 3.3): 29.661112357885447
(2.1, 3.4): 26.415964704013142
(2.1, 3.5): 23.62959253666343
(2.1, 3.6): 21.24269561382056
(2.1, 3.7): 19.202654978558247
(2.1, 3.8): 17.462938318925282
(2.1, 3.9): 15.982541038217636
(2.1, 4.0): 14.725458490789787
(2.1, 4.1): 13.660188099961637
(2.1, 4.2): 12.75926165725427
(2.1, 4.3): 11.998808661268619
