Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x553070>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.8, 4.6): -3.7674899292642494
(2.8, 4.601): -3.767843011101814
(2.8, 4.602): -3.768194327227705
(2.8, 4.603): -3.7685438814667496
(2.8, 4.604): -3.7688916776394352
(2.8, 4.605): -3.7692377195569757
(2.8, 4.606): -3.769582011028281
(2.8, 4.607): -3.7699245558497005
(2.8, 4.608): -3.770265357820817
(2.8, 4.609): -3.7706044207292546
(2.8, 4.61): -3.7709417483572385
(2.8, 4.611): -3.7712773444866072
(2.8, 4.612): -3.771611212883763
(2.8, 4.613): -3.7719433573192793
(2.8, 4.614): -3.772273781549988
(2.8, 4.615): -3.7726024893344885
(2.8, 4.616): -3.7729294844175487
(2.8, 4.617): -3.7732547705448787
(2.8, 4.618): -3.7735783514508507
(2.8, 4.619): -3.773900230868982
(2.8, 4.62): -3.7742204125243446
(2.8, 4.621): -3.7745389001363763
(2.8, 4.622): -3.7748556974207257
(2.8, 4.623): -3.7751708080837854
(2.8, 4.624): -3.775484235830705
(2.8, 4.625): -3.77579598435401
(2.8, 4.626): -3.776106057349362
(2.8, 4.627): -3.7764144585010944
(2.8, 4.628): -3.7767211914861156
(2.8, 4.629): -3.7770262599813154
(2.8, 4.63): -3.77732966765555
(2.8, 4.631): -3.777631418168986
(2.8, 4.632): -3.777931515180688
(2.8, 4.633): -3.778229962340985
(2.8, 4.634): -3.778526763295643
(2.8, 4.635): -3.778821921683978
(2.8, 4.636): -3.7791154411410117
(2.8, 4.637): -3.7794073252951463
(2.8, 4.638): -3.779697577767545
(2.8, 4.639): -3.7799862021785784
(2.8, 4.64): -3.7802732021380243
(2.8, 4.641): -3.7805585812531253
(2.8, 4.642): -3.780842343122593
(2.8, 4.643): -3.7811244913435536
