Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: vasp
size: (1, 1, 1)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
2.1: 184.4751714075 (2.31525)
2.2: 164.167496945 (2.662)
2.3: 142.648108935 (3.04175)
2.4: 119.132802205 (3.456)
2.5: 96.11833753 (3.90625)
2.6: 75.3963885625 (4.394)
2.7: 57.895596435 (4.92075)
2.8: 43.2279889675 (5.488)
2.9: 31.4553330075 (6.09725)
3.0: 22.231174875 (6.75)
3.1: 15.1726728075 (7.44775)
3.2: 9.8437309325 (8.192)
3.3: 5.87099791 (8.98425)
3.4: 2.937654285 (9.826)
3.5: 0.826317375 (10.71875)
3.501: 0.8086610975 (10.727940125)
3.502: 0.790998555 (10.737135502)
3.503: 0.77347373 (10.746336132)
3.504: 0.7559014125 (10.755542016)
3.505: 0.738507515 (10.764753156)
3.506: 0.720904085 (10.773969554)
3.507: 0.70364112 (10.783191211)
3.508: 0.686367675 (10.792418128)
3.509: 0.6692343725 (10.801650307)
3.51: 0.65216553 (10.81088775)
3.511: 0.6348525375 (10.820130458)
3.512: 0.61791314 (10.829378432)
3.513: 0.600716175 (10.838631674)
3.514: 0.5839055275 (10.847890186)
3.515: 0.56710423 (10.857153969)
3.516: 0.5504211325 (10.866423024)
3.517: 0.5336686675 (10.875697353)
3.518: 0.517112725 (10.884976958)
3.519: 0.50061997 (10.89426184)
3.52: 0.48405031 (10.903552)
3.521: 0.4676840775 (10.91284744)
3.522: 0.451251985 (10.922148162)
3.523: 0.4350116825 (10.931454167)
3.524: 0.4186930775 (10.940765456)
3.525: 0.40257823 (10.950082031)
3.526: 0.3863430025 (10.959403894)
3.527: 0.3703532475 (10.968731046)
3.528: 0.354305295 (10.978063488)
3.529: 0.33843975 (10.987401222)
3.53: 0.32263594 (10.99674425)
3.531: 0.30674913 (11.006092573)
3.532: 0.2910687425 (11.015446192)
3.533: 0.2751965475 (11.024805109)
3.534: 0.25934644 (11.034169326)
3.535: 0.2432271675 (11.043538844)
3.536: 0.2272989 (11.052913664)
3.537: 0.21129589 (11.062293788)
3.538: 0.19548915 (11.071679218)
3.539: 0.1797427 (11.081069955)
3.54: 0.1639587625 (11.090466)
3.541: 0.1483327675 (11.099867355)
3.542: 0.1326978875 (11.109274022)
3.543: 0.1171915925 (11.118686002)
3.544: 0.1015669975 (11.128103296)
3.545: 0.0861802675 (11.137525906)
3.546: 0.07059836 (11.146953834)
3.547: 0.055330705 (11.156387081)
3.548: 0.040051965 (11.165825648)
3.549: 0.0249021125 (11.175269537)
3.55: 0.0098108175 (11.18471875)
3.551: -0.005359015 (11.194173288)
3.552: -0.0203331175 (11.203633152)
3.553: -0.0354127725 (11.213098344)
3.554: -0.0502700825 (11.222568866)
3.555: -0.0651847625 (11.232044719)
3.556: -0.07992624 (11.241525904)
3.557: -0.09482892 (11.251012423)
3.558: -0.109454875 (11.260504278)
3.559: -0.12418923 (11.27000147)
3.56: -0.138700455 (11.279504)
3.561: -0.153154735 (11.28901187)
3.562: -0.167695715 (11.298525082)
3.563: -0.18203604 (11.308043637)
3.564: -0.19640026 (11.317567536)
3.565: -0.2106273475 (11.327096781)
3.566: -0.2250202775 (11.336631374)
3.567: -0.2391341925 (11.346171316)
3.568: -0.2532870625 (11.355716608)
3.569: -0.267288785 (11.365267252)
3.57: -0.2813370675 (11.37482325)
3.571: -0.2952271625 (11.384384603)
3.572: -0.30906178 (11.393951312)
3.573: -0.3229997125 (11.403523379)
3.574: -0.3367231125 (11.413100806)
3.575: -0.3504769475 (11.422683594)
3.576: -0.3640899525 (11.432271744)
3.577: -0.3777984475 (11.441865258)
3.578: -0.391301385 (11.451464138)
3.579: -0.4049283425 (11.461068385)
3.58: -0.41832157 (11.470678)
3.581: -0.4317644125 (11.480292985)
3.582: -0.44524094 (11.489913342)
3.583: -0.4586634325 (11.499539072)
3.584: -0.472194765 (11.509170176)
3.585: -0.48550902 (11.518806656)
3.586: -0.4989469525 (11.528448514)
3.587: -0.51215367 (11.538095751)
3.588: -0.5254020575 (11.547748368)
3.589: -0.5385019125 (11.557406367)
3.59: -0.5517927275 (11.56706975)
3.591: -0.5647858025 (11.576738518)
3.592: -0.5779165325 (11.586412672)
3.593: -0.590803605 (11.596092214)
3.594: -0.60374455 (11.605777146)
3.595: -0.6165264575 (11.615467469)
3.596: -0.6292561775 (11.625163184)
3.597: -0.64201701 (11.634864293)
3.598: -0.6546424725 (11.644570798)
3.599: -0.66750951 (11.6542827)
3.6: -0.6800306475 (11.664)
3.601: -0.69258026 (11.6737227)
3.602: -0.7049981225 (11.683450802)
3.603: -0.7174639225 (11.693184307)
3.604: -0.72977899 (11.702923216)
3.605: -0.74224243 (11.712667531)
3.606: -0.75445481 (11.722417254)
3.607: -0.7666952175 (11.732172386)
3.608: -0.778805885 (11.741932928)
3.609: -0.7908660175 (11.751698882)
3.61: -0.80303227 (11.76147025)
3.611: -0.8149910625 (11.771247033)
3.612: -0.827048365 (11.781029232)
3.613: -0.8389064125 (11.790816849)
3.614: -0.8507911025 (11.800609886)
3.615: -0.8625492475 (11.810408344)
3.616: -0.87435546 (11.820212224)
3.617: -0.8860140325 (11.830021528)
3.618: -0.8978472375 (11.839836258)
3.619: -0.9094063275 (11.849656415)
3.62: -0.9210561725 (11.859482)
3.621: -0.9325164025 (11.869313015)
3.622: -0.9439275975 (11.879149462)
3.623: -0.95543386 (11.888991342)
3.624: -0.9667467525 (11.898838656)
