Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: vasp
size: (1, 1, 1)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.0, 3.0): 50.539796155
(2.0, 3.1): 46.01140733
(2.0, 3.2): 41.931964925
(2.0, 3.3): 38.28419396
(2.0, 3.4): 35.030217975
(2.0, 3.5): 32.16867693
(2.0, 3.6): 29.65925629
(2.0, 3.7): 27.47428304
(2.0, 3.8): 25.58400375
(2.0, 3.9): 23.950536475
(2.0, 4.0): 22.54495389
(2.0, 4.1): 21.328744685
(2.0, 4.2): 20.27990708
(2.0, 4.3): 19.387184925
(2.0, 4.4): 18.622693895
(2.0, 4.5): 17.96415936
(2.0, 4.6): 17.389031625
(2.0, 4.7): 16.883134075
(2.0, 4.8): 16.440074345
(2.0, 4.9): 16.04860804
(2.0, 5.0): 15.708139205
(2.0, 5.1): 15.409868965
(2.0, 5.2): 15.150073845
(2.0, 5.3): 14.923913345
(2.0, 5.4): 14.72556586
(2.0, 5.5): 14.549909175
(2.0, 5.6): 14.39633201
(2.0, 5.7): 14.26584052
(2.0, 5.8): 14.151128495
(2.0, 5.9): 14.052513225
(2.0, 6.0): 13.966206385
(2.1, 3.0): 38.977402095
(2.1, 3.1): 34.98189613
(2.1, 3.2): 31.399597235
(2.1, 3.3): 28.218347605
(2.1, 3.4): 25.406959395
(2.1, 3.5): 22.946614625
(2.1, 3.6): 20.795565305
(2.1, 3.7): 18.924637845
(2.1, 3.8): 17.3073323
(2.1, 3.9): 15.913385955
(2.1, 4.0): 14.71554087
(2.1, 4.1): 13.68494901
(2.1, 4.2): 12.80184565
(2.1, 4.3): 12.037987
(2.1, 4.4): 11.38077932
(2.1, 4.5): 10.822314245
(2.1, 4.6): 10.33943512
(2.1, 4.7): 9.923076645
(2.1, 4.8): 9.55951554
(2.1, 4.9): 9.233776675
