Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: vasp
size: (1, 1, 1)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.8, 4.7): -3.10188654
(2.8, 4.701): -3.10239784
(2.8, 4.702): -3.10292083
(2.8, 4.703): -3.103438925
(2.8, 4.704): -3.103986155
(2.8, 4.705): -3.104512285
(2.8, 4.706): -3.10503107
(2.8, 4.707): -3.105552415
(2.8, 4.708): -3.10605897
(2.8, 4.709): -3.10654572
(2.8, 4.71): -3.107055185
(2.8, 4.711): -3.107555025
(2.8, 4.712): -3.10808031
(2.8, 4.713): -3.108595775
(2.8, 4.714): -3.109087245
(2.8, 4.715): -3.109588865
(2.8, 4.716): -3.110083405
(2.8, 4.717): -3.11057514
(2.8, 4.718): -3.111069915
(2.8, 4.719): -3.111574055
(2.8, 4.72): -3.11204885
(2.8, 4.721): -3.112537805
(2.8, 4.722): -3.1130163
(2.8, 4.723): -3.11351538
(2.8, 4.724): -3.114001205
(2.8, 4.725): -3.114481805
(2.8, 4.726): -3.114983595
(2.8, 4.727): -3.115458195
(2.8, 4.728): -3.11593178
(2.8, 4.729): -3.11640627
(2.8, 4.73): -3.1168742
(2.8, 4.731): -3.117337605
(2.8, 4.732): -3.117799595
(2.8, 4.733): -3.118266
(2.8, 4.734): -3.11873072
(2.8, 4.735): -3.11918909
(2.8, 4.736): -3.119646435
(2.8, 4.737): -3.120108535
(2.8, 4.738): -3.1205506
(2.8, 4.739): -3.120991575
(2.8, 4.74): -3.121425485
(2.8, 4.741): -3.121879935
(2.8, 4.742): -3.122330725
(2.8, 4.743): -3.122790755
(2.8, 4.744): -3.12323705
(2.8, 4.745): -3.12366237
(2.8, 4.746): -3.12408803
(2.8, 4.747): -3.12451887
(2.8, 4.748): -3.12494541
(2.8, 4.749): -3.125370485
(2.8, 4.75): -3.125809325
